Threads, DXGA100, Haswell 
1, 75.271556492, 12.708417014 
1, 11.678410304, 12.669880587 
2, 10.972921068, 11.233764979 
4, 10.851435389, 11.304409177 
8, 10.899440482, 11.271238002 
16, 10.932391055, 11.202543885 
32, 10.964766698, 11.582698215 
