Threads, DXGA100, Haswell
1, 11.641910258, 12.328025531
1, 11.739215913, 12.615934336
2, 10.824213070, 11.250727104
4, 10.859506209, 11.213056265
8, 10.826040867, 11.163926227
16, 10.951088817,  11.278679323
32, 11.222310490,  11.610916813
