Threads, DXGA100, Haswell
1, 15.514299943, 58.080640515
1, 11.753698112, 12.686791131
2, 10.750014284, 11.178496522
4, 10.873979511, 11.141723860
8, 11.022810189, 11.214296110
16, 10.758202879, 11.299966558
32, 11.583628459, 11.413394641
