Threads, DXGA100, Haswell
1, 522.751411263, 547.806643569
1, 521.284142452, 545.721814129
2, 271.254715141, 309.018799869
4, 146.500909343, 161.561863878
8, 85.829464102, 100.931989351
16, 54.721426553,  67.099733466
32, 45.142658563,  59.543615310
