Threads, DXGA100, Haswell
1, 523.485490284, 547.076963520
1, 517.781126180, 546.179312058
2, 279.671941258, 302.116132955
4, 145.813480785, 159.623709229
8, 116.872894857, 101.331078815
16, 58.994338560,  66.867114206
32, 46.296816175,  60.283183711
