Threads, DXGA100, Haswell 
1, 515.921394265, 549.996941295
1, 517.010276455, 543.262414229
2, 279.394607703, 305.573670012
4, 155.489173239, 161.720301453
8, 90.350146050, 100.123540630
16, 63.366718447, 67.092413957
32, 51.520394986, 57.559646520


